Problem: Airpods
Problem Type: Product Sense
Firm: 
Channel: Exponent
URL: https://www.youtube.com/watch?v=Tp-sfXzYFeI
============================================================

**Interviewer:** Yeah.  
**Candidate:** Um,   cool.   Well,   I   think   we're   live.   I'm   just   gonna   go   ahead   and   check   on   Facebook   and   confirm   that   we're   live.   Um,   while   I   do   that,   Dallas,   do   you   wanna   start   off,   just   introduce   yourself   a   little   bit?  
**Candidate:** Yeah.   So,   uh,   I'm   Dallas   Inman.   Uh,   I   work   at   a   machine   learning   company   called   Digital   Reasoning.   Uh,   we   are   a   fintech   top   50,   uh,   uh,   financial,   uh,   services   company   specializing   in,   uh,   analyzing   human   communication.   Um,   I   am   a   product   manager   on   a   product   called   Cognition,   which   is,   uh,   geared   at,   um,   being   able   to   leverage   active   learning   to   bring   machine   learning,   uh,   to   the   masses.   So,   we   have   an   intuitive   UI-   UI   where,   um,   users   can   identify   yes   and   no   labels   to   help   facilitate   building   machine   learning   models.  
**Candidate:** Cool.   Um,   and   what's   your   current   PM   goal?   Like,   what   are   you   trying   to-   trying   to,   um,   trying   to   level   up   in   product   management   skills,   or   what   are   you,   what   are   you   trying   to   do?  
**Candidate:** So,   uh,   I'm   trying   to   level   up   product   management   skills,   um,   along   with,   uh,   trying   to,   um,   you   know,   build   up   my   resume   to   help   me   find   a   job   out   in   San   Francisco.   Um,   I've   been   a   PM   for   one   year   right   now,   so,   um,   it's   a   combination   of   both.   So,   I   signed   up   for   a   PM   Lesson   to   kind   of   help   level   up   some   of   those   skills   and   leverage   some   of   that   into,   uh,   you   know,   trying   to   find   a   job   out   in   San   Francisco.  
**Candidate:** Cool.   Um,   and   so   for   those   of   you   who   are   joining   in   watching   us,   um,   this   is   a   PM   Lesson   live   mock   interview.   So,   this   is   kind   of   a   new,   uh,   method   we're   trying   out,   where   we   interview   folks   live   on   Facebook   Live.   Um,   we'll   usually   do   a   short   question.   This   whole   session   will   take   about   20   minutes   or   so.   Um,   and   the   idea   is   that,   you   know,   hopefully   Dallas,   who's   joining   us,   will   get   some   value   out   of   it,   and   it'll   also   be   an   educational   tool   for   a   lot   of   people   watching   it.   Um,   if   you're   interested   in   PM   Lesson   or   any   of,   uh,   project   management   interview   prep,   uh,   you   can   visit   the   website   at   pmlesson.com.   And   we're   currently   running   a   promotion   for   the   first   50   people   to   sign   up   for   our   course.   So,   if   you're   interested   in   being   one   of   those   first   50   people,   I   think   we   have   about   16   or   so   left,   um,   reach   out   to   me   or-   or   comment   on   this   post   and   we   can   set   you   up   with   the   right,   uh,   code   so   that   you   can   get   that   access.   Cool.   Um,   so   without   further   ado,   uh,   we'll-   we'll   kind   of   jump   into   the   PM   interview.   So,   uh,   Dallas,   could   you   answer   the   question,   what   is   your   favorite   product   and   why?  
**Candidate:** My   favorite   product,   uh,   right   now,   I   would   say   is   the   Apple   AirPods.   Um,   to   me,   one   of   my,   uh,   favorite   reasons   that,   uh,   it's   my   favorite   product   is   it's   kind   of,   uh,   the   perfect   and   kind   of   harmonious,   uh,   combination   of   hardware   and   software   working   seamlessly   together.   Um,   I   use   them   all   day   pretty   much   every   day,   except   for,   uh,   right   now.   I   left   them   at   home.   So,   um,   but   my   favorite   product   would   be   the,   uh,   Apple   AirPods.  
**Candidate:** Cool.   Um,   and   tell   me   a   little   bit   more   about   why   you   like   them,   or   what-   what   are   some   of   the   features   that   you   think   are   really   awesome   about   the   Apple   AirPods?  
