Problem: Google Product Manager Mock Interview: Improve Fin-Tech Product
Problem Type: Product Sense
Firm: Google
Channel: Exponent
URL: https://www.youtube.com/watch?v=YUrLj8F_wAE
============================================================

**Interviewer:** Pick   your   favorite   product   and   tell   us   how   you'd   improve   it.   Hey,   everyone.   I'm   super   excited   to   be   here   today   with   Alex   to   do   a   mock   product   management   interview   question.   In   today's   mock   interview,   we're   going   to   be   talking   about   how   to   improve   a   product.   But   before   I   jump   into   it,   Alex,   could   you   go   ahead   and   introduce   yourself   for   folks   watching?  
**Candidate:** Sure,   sure.   Thanks   very   much,   Stephen.   Very   good   to   be   here.   I'm   a   big   fan   of   your   channel   and   just   the   work   that   you   do   in   general,   helping   other   folks   get   into   product   management.   Uh,   my   name,   like   you   said,   is   Alex.   I   am   a   product   manager   at   Google,   and   I   used   to   do,   um,   uh,   mobile   games   and,   uh,   other   apps,   uh,   before   that.   Before   that,   I   used   to   do,   um,   a   little   bit   of   consulting   and   a-   also   startups,   um,   uh,   type   of   work.   I,   uh,   uh,   in   general,   I   love   the   product   management   field.   I   think   it's   very   interesting   career.   I   think   it's   gonna   be   a   lot   of,   uh,   big,   big,   uh,   demand   increases   and   changes   coming   in   the   next   five,   10,   15   years,   and   so   I   think   folks   that   are   interested   in,   um,   getting   into   the   space   should   definitely   watch   the   channel.   I   actually   have   my   own   channel   that   I,   where   I   talk   about   product   management.   Uh,   happy   to,   you   know,   have   folks   come   by   and   check   those   videos   out   as   well.   But   very   excited   to   be   here,   very   excited   to   get   into   some   product   management   questions.  
**Interviewer:** Awesome.   And   for   folks   watching,   if   you   want   to   check   out   Alex's,   uh,   YouTube   channel,   it'll   be   in   the   description   below,   so   definitely   check   it   out.   Um,   and   super   excited   to   be   here   today   doing   another   Exponent   mock   interview.   For   those   who   don't   know,   Exponent   helps   you   land   your   dream   tech   job   with   our   online   courses,   coaching,   and   community.   Uh,   we   believe   that   interviewing   shouldn't   be   something   you   do   alone,   but   you   do   with   other   people   to   help   you   prep   in   a   community   and   an   awesome   learning   experience.   So   definitely,   if   you're   interviewing   for   product   management   roles   or   other   tech   roles,   check   out   tryexponent.com.   All   right,   without   further   ado,   Alex,   I'd   love   to   get   into   the   mock   interview.   Um,   so   as   mentioned,   today's   question   will   be,   pick   your   favorite   product   and   tell   us   how   you'd   improve   it.  
**Candidate:** Pick   your   favorite   product   and   tell   us   how   you'd   improve   it.   Sounds   good.   So   let   me   switch   into   my   interviewee   mode.   I'm   usually   in   interviewer   mode,   Stephen.  
**Interviewer:** (laughs)  
**Candidate:** You   caught   me   off   guard   here   a   little   bit.   So,   um,   I,   I,   I   have   a   few   products   that   come   to   mind.   Um,   I   think   what   I'd   like   to   do   is   tell   you   about   a   few   of   these   products   and   then   maybe   tell   you   what   I   think   in   general   makes,   makes   something   a   good   product,   like   sort   of   my,   my   framework   for   thinking   about   it.   Uh,   and   then,   uh,   we   can   talk   about   why   I   think   those   products   fit   those   descriptions.   And   do   you   wanna   focus   on   any   particular   type   of   product,   like   a,   uh,   mobile   app   or   a   web   product   or   maybe   a   physical   product,   like   guitars   or   like   a   bookshelf   or   something?   Anything   in   particular?  
**Interviewer:** I   can   see   you   like   guitars.   But,   um,   yeah,   let's   stick   to   a   software   product   for   this   particular   question,   but   that's   a   great   follow-up   question,   and   this   question   does   vary   depending   on,   uh,   how   it's   asked,   if   they,   they   pick   a   subset   of   the   set   of   products   that   exist   in   the   world.  
