Problem: Lyft Product Manager Interview: Driver Cancels
Problem Type: Product Design
Firm: Lyft
Channel: Exponent
URL: https://www.youtube.com/watch?v=7ANhnw4WjvU
============================================================

**Interviewer:** And   we're   going   to   be   doing   a   mock   PM   interview   focused   on   an   execution   style   question,   focused   on   Lyft.   Lyft   cancels   are   up   5%.   What   is   going   on?   (instrumental music)   Hey,   everyone.   I'm   here   today   with   Hadar.   Uh,   Hadar,   before   we   jump   into   this   question,   could   you   tell   us   a   little   bit   more   about   yourself?  
**Candidate:** Yeah.   Hey,   I'm,   so   name   is   Hadar.   Uh,   I,   uh,   just   recently   quit   Lyft,   uh,   but   I   was   working   there   for,   uh,   something   like   two   and   a   half   or   three   years,   uh,   as   a,   uh,   PM,   uh,   focused   on   a   bunch   of   different   stuff,   uh,   some   driver   onboarding,   some   regulatory   policy,   uh,   towards   the   end   on,   uh,   creating   new   products   for   our   riders   and   on   the,   uh,   cancellations   policy,   uh,   for,   for   the   ride   sharing,   uh,   product.   Uh,   before   that,   uh,   I   was   a   PM   at   Postmates,   uh,   at   a   nonprofit,   uh,   called   Kiva,   and   then,   uh,   did   some   startup   stuff   for   a   while   before   that.  
**Interviewer:** Awesome.   Um,   well,   we're   super   excited   to   have   you,   and   today   as   I   mentioned,   we're   gonna   be   doing   an   execution   style   interview   question.   Uh,   for   this   question,   I   want   you   to   imagine   that   you   are   working   at   Lyft,   which,   uh,   you're   very   familiar   with.   Um,   Lyft   cancels   are   up   5%.   What   is   going   on?   What's   the   problem   here,   uh,   is   what   we're   gonna   explore   throughout   this   interview   question.  
**Candidate:** Okay,   sounds   good.  
**Interviewer:** Um,   so   what   I'd   love   for   you   to   do   is   to   come   up   with   hypotheses   as   to   what's   going   on.   Um,   for   the   purpose   of   this   exercise,   we're   going   to   do   a   little   bit   of   a   role   play   where   I   will   be   a   data   scientist,   and   you   can   imagine   that   I   have,   um,   access   to   tons   of   data   and   I   can   tell   you   answers   to   everything.   However,   um,   unfortunately,   I'm   a   very   terse   data   scientist   and   I   only   answer   in   yes   or   no   questions.   Um,   so   I   can't   tell   you   anything   more   other   than   just   yes   or   no.   Um,   but   you   can   feel   free   to   a-   ask   me   questions   to   understand   and   diagnose   the   issue.   Um,   again,   the   issue   is   that   Lyft   cancel   rates   are   up   5%.  
**Candidate:** Okay.   Yeah,   that   all   sounds   good.   Um,   cool.   So   I   guess   as   a   starting   point,   just   wanna   make   sure   I   clarify   and,   like,   have   the,   the   prompt   right.  
**Interviewer:** Sure.  
**Candidate:** Uh,   so   I'm   a   PM   at   Lyft.   Uh,   I'm   on   the   cancel   side.   Let's   say   cancels   are   up,   uh,   5%,   which   obviously   is   not   a   good   thing.   I   wanna   see   why   that   happened.   Uh,   and   then,   uh,   you   have   like   a   magical   dashboard   and   I   can   ask   you   whatever   question.   Uh,   but   you'll   only   give   me   like   yes   or   no   answers,   so   I   have   to   be   pretty   precise,   like   what   things   I   ask   you,   right?  
**Interviewer:** Yes.  
**Candidate:** Um,   cool.   Okay.   Uh,   and   just   to   make   sure   I   understand   how   we're   defining   cancels,   um,   so   first   question,   um,   is   this   like,   are   we   talking   like   rider   versus   driver   cancels   or   like,   is   like   the   admins   like   the   system   behind   the   scenes   canceling?   Uh,   I   guess   ma-   yes   or   no   questions.   Is,   is   this   driver,   uh,   cancels?  
**Interviewer:** Yes,   it   is   driver   cancels.   Yes.  
**Candidate:** Okay.   So,   uh,   just   to   make   sure,   are   rider   cancels,   uh,   different   in   any   way   or   is   it   just   on   driver   side?  
**Interviewer:** No,   we're   not   seeing   a   different   deviation   in   rider   cancels.  
**Candidate:** Okay.   Got   it.   Got   it.   Um,   has   the   way   that   we,   uh,   define   the   metric   changed   at   all?   Like   as   an   example,   like   maybe   the   way   we   used   to   define   it   is,   uh,   you   know,   you   requested   the   ride   already,   um,   and   the   driver   was   like   dispatched   and   then   you,   like   the   rider   cancels   the   ride,   or   the,   I   guess   like   the   driver   cancels   the   ride,   uh,   at   some   point.   Um,   let's   say   that   that's   the   definition,   uh,   as,   as   an   assumption.   Like   has   this   changed   since   before   that,   uh,   the   increase   happened?  
**Interviewer:** Yeah,   good   question.   We   haven't   changed   the   definitions   of   metrics,   uh,   in   the   past,   uh,   in,   in   the   timeframe   that's   relevant   for   this   question.  
