Problem: Meta/Facebook Product Manager Mock Interview: Meta/Facebook Movies
Problem Type: Product Design
Firm: Meta
Channel: Exponent
URL: https://www.youtube.com/watch?v=se6Soyi2k0U
============================================================

**Interviewer:** How   would   you   design   a   product   around   movies   for   Facebook?   (instrumental music)   Hey,   everyone.   Uh,   we're   here   today   to   do   a   PM   mock   interview   with   Selena,   who   is   an   incoming   product   manager   at   Facebook.   Um,   before   we   jump   into   the   interview   questions,   Selena,   could   you   introduce   yourself   just   a   little   bit   to   the   audience.  
**Candidate:** Yeah,   nice   to   meet   you.   My   name   is   Selena.   Um,   I   actually   know   Steven   from   Stanford   GSB   where   we're   classmates,   and   just   found   a   ton   of   value   in   Exponent   in   preparing   for   getting   a   product   offer   from   Facebook.   So   really   excited   to   be   here   today.  
**Interviewer:** We're   super   excited   to   have   you   on   the   show,   Selena.   Um,   and   so   the   question,   the   mock   interview   question   that   we   will   be   doing   today   will   be,   how   would   you   design   a   product   around   movies   for   Facebook?  
**Candidate:** All   right.   Product.  
**Interviewer:** And   so   ...   Yeah.   This   is   a   product   design   question,   the   interview   question.   Um,   and   it's   sort   of   open-ended,   but   yeah,   how,   let's   together   figure   out   a   product   that   we   would   design   around   movies   for   Facebook.  
**Candidate:** Yeah.   Sounds   good.   Um,   so   I   think   my   first   question   before   we   get   started   would   be,   is   this   a   product   you're   envisioning   existing   within   the   Facebook   app   or   would   this   potentially   be   separate?  
**Interviewer:** It,   you   can   be   as   open-ended   as   you'd   like   with   this   question.   So   yeah,   feel   free   to   operate   within   the   Facebook   app.   I   would   con-   the   constraint   is   just   that   it's   something   that   Facebook   itself   as   a   company   would   launch.  
**Candidate:** Okay.   Um,   one   more   question.   What   do   you   think   about   hardware   versus   software?   I   know   Portal   is   a   big   bet   for   Facebook,   so   do   we   want   to   maybe   think   on   a   hardware   lens   as   well?  
**Interviewer:** Yeah.   That's   a   great   question.  
**Candidate:** Not   a   literal   lens,   like   hardware   direction.   (laughs)  
**Interviewer:** (laughs)   That's   a   great   question.   So   yeah,   the   question   being,   is   there   a   hardware   angle   here?   You   can   certainly   brainstorm   in   that   direction   if   you'd   like   to.   Um,   you're   not   constrained   by   that.  
