Problem: fitness app for Meta
Problem Type: Product Sense
Firm: Meta
Channel: RocketBlocks
URL: https://www.youtube.com/watch?v=bTtImkT8POA
============================================================

**Interviewer:** In   my   opinion,   a   product   sense   interview   is   about   taking   an   ambiguous   problem   statement   and   turning   it   into   an   actionable   hypothesis   or   solution   or   product   vision,   right?   And   I   think   you   accomplished   a   lot   of   this   here.   (gentle music)   Hey,   Eveline.   How   are   you   doing?  
**Candidate:** Great.   I'm   very   excited,   Rachel.   (laughs)  
**Interviewer:** Me   too,   Eveline.   It's   so   nice   to   meet   you.   Let   me   introduce   myself.   I'm   Rachel.   I'm   an   enterprise   product   lead   at   an   AI   startup   called   Arena.   Uh,   we   help,   uh,   large   enterprises   make   decisions   using   AI   models.   Uh,   before   I   was   at   Arena,   I   was   a   staff   product   manager   at   Meta,   where   I   was   building,   uh,   or   collaborating   with   teams   to   build,   uh,   recommendation   systems,   uh,   personalization   systems,   and   content   distribution   systems.   So,   that's   roughly   about   me   in   a   nutshell.   Uh,   why   don't   you   tell   me   a   bit   about   yourself?  
**Candidate:** Yeah.   Thank   you   so   much,   Rachel.   My   name   is   Eveline.   Uh,   most   recently,   I   was   at   Coursera.   I   was   building   platform   features.   Prior   to   that,   worked   at   various   different   companies,   including   Uber.   So,   I   would   say   my   expertise   is   really   in   marketplace   and   growth.   Um,   right   now,   I'm   actively   interviewing,   and   I'm   super   excited   that   I   get   this   ex-   opportunity   to   get   you   a   coach.  
**Interviewer:** Oh,   wonderful.   I   am   a   huge   fan   of   especially   Coursera   in   these.   I   have   taken   a   few   classes   there,   and   it's   a   wonderful   platform.   Eveline,   let's   imagine   that   you   are   a   product   matter-   manager   at   Meta,   and   you   have   five   months   ...   sorry,   six   months   to   evaluate   if   Meta   should   enter   the   fitness   space.  
**Candidate:** Got   it.   So-  
**Interviewer:** What   do   you   do?  
**Candidate:** ...   what,   what   we   are   trying   to   figure   out   is   whether   or   not   Meta   should   enter   into   the   fitness   space.   Um,   great.   I   guess   to   start,   um,   I'd   love   to   just   clarify   a   few   things   with   you.   When   we   say,   "Enter   a   new   fitness   space,"   are   we   thinking   about   potentially   leveraging   some   of   the   Meta   portfolio   or   this   is   a   brand-new   space   that   we   are   trying   to   get   into?  
**Interviewer:** So   ideally,   if   we   have   six   months,   I   think   it's   best   to   use   Meta's   portfolio   and   leverage   our   existing   features   to   see   if   there   is   value   here.  
**Candidate:** Mm.  
**Interviewer:** How   do   you   think   this   aligns   with   Meta-   with   Meta's   direction   overall?   What   do   you   see   as   opportunities   here   before   we   dive   too   deep?  
**Candidate:** Yeah.   Yeah.   Um,   so   I   think   to   tie   back   to   Meta's   vision,   which   is   to   give   people   a   space   so   that   they   could   build   communities   and   bring   the   whole   world   close   together,   I   think   the   fitness   space   makes   a   lot   of   sense.   Because   how   people   spend   time   these   days   are   very   fragmented.  
**Interviewer:** Hmm.  
**Candidate:** Meta   started   off   as   a   social   media   network,   Facebook.   I   think   nowadays   people   probably   spend   less   time   because   there   are   so   many   competitors,   TikTok,   um,   Google,   YouTube.   Um,   so   I   think   fitness   could   be   a   very   strategic   lever   because   people   are   spending   more   time   on   fitness.   They   probably   spend   more   than   five,   10   minutes   workout   than   couple   seconds   or   a   minute   watching   social   media   feeds.   So   I   think   str-   strategically,   it   makes   a   lot   of   sense   from   an   engagement   perspective.  
**Interviewer:** And   outside   of   the   engagement,   what   do   you   think   about   the   sentiment   towards   fitness   or,   like,   building   community   around   fitness?   Do   you   see   examples   where   communities   are   being   built   around   fitness?  
**Candidate:** Absolutely.   Absolutely.   Um,   community   is,   if   not   the   most   important   one,   one   of   the   most   important   lever   because   people   find   more   motivation   and   interest   when   they   have   a   lot   of-  
**Interviewer:** Mm-hmm.  
**Candidate:** ...   people   they   could   work   with.   And   I   think   that's   one   of   the   power   of   the   Facebook   or   the   Meta   community.   There's   already   so   many   monthly   and   weekly   active   users.   So,   I   think   that's   ...   Like,   the   community   piece   is   probably   easy   to   get.  
**Interviewer:** Okay.   Okay,   sounds   good.  
**Candidate:** Awesome.   So   I   guess   we   touched   a   little   bit   about   the   engagement.   I   wanted   to   use   that   as,   um,   guiding   principle,   um,   in   order   for   me   to   build   this   fitness   product   utilizing   existing   Facebook   or   Meta   portfolio.   I'm   gonna   keep   the   engagement   in   mind.  
**Interviewer:** Mm-hmm.  
**Candidate:** Um,   then   I   will   move   on   to   how   I   usually   structure   the   product   sense.   I   love   to   brainstorm   on,   who   are   we   building   this   for,   what   their   motivations   or   pain   points   are,   and   then   from   there,   I   think   I   could,   uh,   pitch   a   few   solutions   with   you.   And   then   from   there,   probably   figure   out,   um,   metrics,   how   to   measure   success,   and   then   what   the   end-to-end   experience   look   like.   How   does   that   sound   to   you?  
**Interviewer:** That   sounds   wonderful.   Thank   you.  
**Candidate:** Awesome.   So,   to   start   with,   who   are   we   building   this   for?   Um,   I   think   of   fitness   as   a,   I   guess,   two-sided   (laughs)   marketplace.   Um,   at   one   hand,   there   are,   uh,   the   people   who   provide   content,   so,   like,   supply   the   content   for   fitness.   They   might   be   coach,   uh,   or   influencer.   And   then   on   the   other   hand,   there   is   the   demand   side,   which   are   the   audience   who   consume   the   fitness   information.   Um,   when   I   think   about   supply   and   demand,   um,   there   are   definitely   more   influencers   trying   to   enter   the   space.   But   in   terms   of   the   market   size,   I   still   think   there   are   more   people-...   consuming   the   information,   um,   so   they   could   become   more,   um,   like,   more   fit   or   healthier.   So,   I   think   the   demand   side   is   where   I   wanted   to   focus   on.   Um-  
**Interviewer:** Okay.  
**Candidate:** So,   breaking   that   down   a   little   bit   more,   when   I   think   about   the   demand   side,   there   are   also,   um,   individual   fitness   level.   There   might   be   people   who   are   just   work   out   on   a   daily   basis.   Um,   that's,   I   would   consider   them,   like,   athletes.   And   then   there   are   people   who   are   just   maybe,   like,   casually   working   out,   maybe   one   or   two   times   a   week.   And   then   there   are   people   who   either   don't   have   a   habit   or   they   just   don't   work   out.   Um,   and   when   I   think   about   the   fitness   level   and   where   I   might   have   the   most   success,   I   think   about   how   big   the   audience   is,   how   much   impact   the   fitness   product   could   drive,   and   then   how   much   effort,   'cause   we   are   trying   to   build   this   thing   out   in   six   months.   Um,   I   think   the   casual   workout   people   has   the   highest   reach.   Um,   if   I   built   something   that   they   use,   probably   will   have   medium   to   large   impact.   In   terms   of   confidence,   Meta   has   so   much   data   I   could   tap   into,   um,   so   I   think   confidence-wise,   I   can   definitely   validate   it.   How   does   that-  
**Interviewer:** That's   wonderful.  
**Candidate:** ...   sound   to   you?  
**Interviewer:** I   really   like   it,   and   I   really   like   that   you're   giving   me   a   bit   of,   like,   a   double   segmentation   here,   orienting   me   around,   okay,   what   is   the   marketplace   at   a   high   level,   then   going   down   deeper,   and   then   giving   me   a   very   good   prioritization   method   so   I   understand   what's   guiding   your   selection.   This   is   very,   um,   helpful.  
