Problem: grow Airbnb experiences
Problem Type: Strategy
Firm: Airbnb
Channel: RocketBlocks
URL: https://www.youtube.com/watch?v=GaWUpUeYAEc
============================================================

**Interviewer:** Um,   so   thank   you   so   much   for   joining   us.   Uh,   let's,   for   the   sake   of   this   exercise,   imagine   that   you   are   a   product   manager   at   Airbnb,   and   you're   specifically   within   the   group   focused   on   Airbnb   Experiences.   So   this   is   the   part   of   Airbnb   that   is   not   about   booking   lodging   or   where   you're   gonna   stay,   but   what   are   you   gonna   do   on   that   trip,   you   know?  
**Candidate:** Mm-hmm.  
**Interviewer:** Take   a   cooking   class,   go   do   a   tour   of   the   city,   um,   and   obviously,   you   know,   pre-COVID,   I   think   all   of   these,   if   not   ...   maybe   not   all   of   them,   but,   like,   they   were   in-person-  
**Candidate:** Mm-hmm.  
**Interviewer:** ...   and   then   post-COVID,   you   know,   they've   got   a   mix   of   in-person   stuff   that's   coming   back   obviously,   and   then   virtual   events   that   they   started   hosting.   But   anyway,   you're   focused   on   Experiences,   and   your   manager   comes   to   you   and   says,   "Hey,   how   do   we   grow   experiences   for   them?   Like,   we   think   we've   got   a   great   product,   but   we   really   wanna,   like,   step   on   the   gas,   um,   and,   and   grow   this   thing."   So   open-ended   prompt   for   you   is,   how   do   we   grow   Airbnb   Experiences?  
**Candidate:** Okay.   (keyboard clacking)   So   I'm   a   product   manager   at   Airbnb   specific   on   Experiences-  
**Interviewer:** Yep.  
**Candidate:** ...   not   thinking   about   the   lodging   section,   and   Experiences   being   what   you   do   on   your   trip.   And   my   manager   is   asking   me   how   to   grow   Experiences   because   it's   a   great   product,   but   we   need   to   step   on   the   gas   (laughs) -  
**Interviewer:** Yeah.  
**Candidate:** ...   which   I'm   interpreting   as,   um,   adding   more   people?   So   I   guess   at   this   point,   I'm   asking   a   clarifying   question   of   does   that   mean   if...   We're   assuming   that   the   product   itself   is   great,   so   we   need   to   drive   more   users   to   the   product.   So   what   I   know   of   Airbnb   Experiences   is   that   you   have   the   people   attending   the   experience,   you   have   the   people   hosting   experience,   and   then   the   revenue   from   an   experience.  
**Interviewer:** Yeah.  
**Candidate:** So,   the   growth   there   would   be   users   or   revenue?  
**Interviewer:** We're   ...   So   we're   primarily   focused   at   this   point   with   driving   user   growth.  
**Candidate:** Okay.  
**Interviewer:** And   sort   of   the   belief   from   the   team   is   that   if   we   drive   user   growth,   the   revenue   growth   will   come,   because   if   people   are   there   and   they're   booking   experiences,   you   know,   as   long   as,   like,   the   average   selling   price   for   an   experience   doesn't   go   to   zero-  
**Candidate:** (laughs)  
**Interviewer:** ...   we   should,   we   should   make   more   money.  
**Candidate:** Okay,   and   then,   so   I've   done   Experiences   but   I   haven't   actually   booked   them   personally.   I've   just   participated   in   and-  
**Interviewer:** Okay.  
**Candidate:** But   I   want   to   confirm   that   the   way   that   the   Airbnb   Experience   works   is   that   you   go   on   the   same   Airbnb   app   as   the   lodging,   you   go   in-  
**Interviewer:** Yep.  
